Fund name,Fund type,Total assets,Number of MySuper products authorised,Total number of member accounts,Average member account balance,Proportion of total assets in default or MySuper strategy,One-year rate of return,Five-year rate of return,Ten-year rate of return,Operating expense ratio,Investment expenses ratio
AIA Superannuation Fund,Retail,785e4,NA,30324,0,0,NA,NA,NA,-0,-0
Alcoa of Australia Retirement Plan,Corporate,2113546e3,NA,5779,351,0,10.8,9.408,3.91,0.15301037018454025,0.2293600569331269
AMG Super,Retail,554089e3,1,7277,75,7.741355630593641,5.8999999999999995,6.489000000000001,1.82,1.328671047284111,0.04043956397699974
AMP Eligible Rollover Fund,Retail,156794e4,NA,539762,3,NA,2.8000000000000003,2.632,2.913,0,0
AMP Retirement Trust,Retail,17427275e3,1,303678,57,4.358925879117647,6.800000000000001,NA,NA,0.6812587890935797,0
AMP Superannuation Savings Trust,Retail,55329525e3,9,1892157,29,31.490042612872603,8.3,8.332,3.056,0.29445842528894295,0
ANZ Australian Staff Superannuation Scheme,Corporate,4234215e3,1,31688,127,44.48673484931682,8.200000000000001,9.809,4.7379999999999995,0.006461072040953257,0.4867776907291464
Aon Eligible Rollover Fund,Retail,53393e3,NA,23439,2,NA,0.7000000000000001,3.0349999999999997,1.107,3.660794582870444,0.17457546421202982
AON Master Trust,Retail,328591e4,1,83904,38,39.00578500324111,9.6,9.602,3.7220000000000004,1.1361027961251067,0.07623389161115555
ASGARD Independence Plan Division Two,Retail,22437182e3,1,240120,93,10.422351612604471,7.1,7.577,2.646,0.8009600019801708,0.6094927288227647
Australia Post Superannuation Scheme,Public sector,7786024e3,1,35306,194,12.209505133814126,6.9,7.058000000000001,4.143,0.16883823650475538,0.16623566755003336
Australian Catholic Superannuation and Retirement Fund,Industry,8079353e3,1,92444,84,56.68193975433429,6.9,7.904,3.18,0.3336381079507385,0.19485951091445727
Australian Defence Force Superannuation Scheme,Public sector,37743e3,1,5671,6,84.95880030734176,NA,NA,NA,0.7097361237488626,0
Australian Eligible Rollover Fund,Retail,718542e3,NA,353587,2,NA,3.3000000000000003,5.667,2.3009999999999997,1.3976070511862888,0.006383007618866541
Australian Ethical Retail Superannuation Fund,Retail,1524618e3,1,35352,42,40.66736717000586,8.4,10.019,3.7289999999999996,0.5942825527136923,0.992640627479059
Australian Meat Industry Superannuation Trust,Industry,2200315e3,1,66223,28,81.96558220073035,9.9,9.136,4.277,0.4872167187818879,0.34254126798327
AustralianSuper,Industry,123183652e3,3,2154630,55,67.637703256273,11.700000000000001,10.587,5.026,0.28464303498568716,0.39579866711127637
